credit_card_num,card_code,expire_month,expire_year,card_type,Owner_email
551000000000000,802,11,2025,Master ,cgiacomucciqf@nsu.edu
551000000000001,697,3,2029,Master ,galldridge4x@nsu.edu
551000000000002,849,6,2030,Master ,msalvatore3m@nsu.edu
551000000000003,789,1,2027,Master ,pnetley4n@nsu.edu
551000000000004,925,7,2029,Master ,nscougallba@nsu.edu
551000000000005,117,7,2028,Master ,lkopeciu@nsu.edu
551000000000006,27,6,2028,Master ,kyabsleyln@nsu.edu
551000000000007,739,7,2029,Master ,ogajownikly@nsu.edu
551000000000008,544,12,2031,Master ,hmathivet8l@nsu.edu
551000000000009,668,11,2032,Master ,geakina0@nsu.edu
551000000000010,941,8,2031,Master ,dstricklandma@nsu.edu
551000000000011,723,10,2029,Master ,mmcterry83@nsu.edu
551000000000012,855,3,2032,Master ,cthumann4h@nsu.edu
551000000000013,731,11,2023,Master ,gspringettim@nsu.edu
551000000000014,276,6,2023,Master ,qmawbyqd@nsu.edu
551000000000015,421,8,2030,Master ,ahadlee1p@nsu.edu
551000000000016,669,3,2024,Master ,gtabbk7@nsu.edu
551000000000017,329,12,2025,Master ,ewhiffenoo@nsu.edu
551000000000018,34,11,2027,Master ,dbleasbyq3@nsu.edu
551000000000019,766,11,2025,Master ,dstryde3k@nsu.edu
551000000000020,834,2,2032,Master ,krelfeam@nsu.edu
551000000000021,335,4,2028,Master ,ltrippie@nsu.edu
551000000000022,693,1,2028,Master ,agabbitasns@nsu.edu
551000000000023,607,5,2025,Master ,akittemancq@nsu.edu
551000000000024,875,12,2031,Master ,gsallye2@nsu.edu
551000000000025,985,3,2030,Master ,lchaperlingfk@nsu.edu
551000000000026,675,10,2029,Master ,fjanciklu@nsu.edu
551000000000027,372,6,2032,Master ,ltrenfieldnt@nsu.edu
551000000000028,197,4,2027,Master ,lblaxill3s@nsu.edu
551000000000029,607,11,2032,Master ,dshuttlewood82@nsu.edu
551000000000030,976,5,2030,Master ,kcoughlan1f@nsu.edu
551000000000031,734,8,2029,Master ,ahaxellil@nsu.edu
551000000000032,270,11,2032,Master ,rstanelandj2@nsu.edu
551000000000033,576,12,2027,Master ,smasselin90@nsu.edu
551000000000034,363,2,2029,Master ,cpetracchiqr@nsu.edu
551000000000035,512,5,2029,Master ,kmerner5m@nsu.edu
551000000000036,451,4,2024,Master ,odilke64@nsu.edu
551000000000037,246,8,2031,Master ,kgedney5c@nsu.edu
551000000000038,661,1,2029,Master ,tandino92@nsu.edu
551000000000039,850,10,2031,Master ,ewithers9j@nsu.edu
551000000000040,239,8,2029,Master ,jboultwoodre@nsu.edu
551000000000041,322,12,2026,Master ,smutlow4d@nsu.edu
551000000000042,966,2,2028,Master ,rcorderoyey@nsu.edu
551000000000043,111,1,2031,Master ,pbullusj6@nsu.edu
551000000000044,366,5,2029,Master ,egaylord7w@nsu.edu
551000000000045,13,6,2032,Master ,rgiloglyae@nsu.edu
551000000000046,215,7,2026,Master ,bscriven8m@nsu.edu
551000000000047,716,11,2031,Master ,phansard9g@nsu.edu
551000000000048,364,10,2032,Master ,fhammon9o@nsu.edu
551000000000049,133,1,2023,Master ,gwestcotcr@nsu.edu
551000000000050,951,2,2028,Master ,probinsonec@nsu.edu
551000000000051,276,6,2024,Master ,dcopshr@nsu.edu
551000000000052,127,7,2027,Master ,npallaschk8@nsu.edu
551000000000053,279,10,2032,Master ,dpollastroneg@nsu.edu
