Seller_Email,Listing_ID,Category,Title,Product_Name,Product_Description,Price,Quantity
wspadelli8j@nsu.edu,747,Bakery & Bread,Freshness Guaranteed Steak Rolls,Steak Rolls,Yummy Rolls,$10 ,5
wspadelli8j@nsu.edu,2513,Bakery & Bread,Freshness Guaranteed Steak Rolls,Steak Rolls,Yummy Rolls,$10 ,5
dnaughton9f@nsu.edu,741,Basketball,Wilson NCAA Street Shot Outdoor Basketball,"Wilson Basketball 9""",For WNBA and kids,$29 ,5
dnaughton9f@nsu.edu,2505,Basketball,Wilson NCAA Street Shot Outdoor Basketball,"Wilson Basketball 9""",For WNBA and kids,$29 ,5
amaccathayam@nsu.edu,786,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Linen Bathrobe,$40 ,2
dbarrowcloughlz@nsu.edu,810,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,$40 ,5
lsekulla8w@nsu.edu,849,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,$40 ,4
srubinivitzlu@nsu.edu,870,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,$40 ,3
rscampm5@nsu.edu,885,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,$40 ,2
onewlindl@nsu.edu,909,Bath Robes,Waffled Bathrobe,Mainstays Waffled Bathrobe,Brobe,$40 ,3
vcawr7@nsu.edu,915,Bath Robes,Waffled Bathrobe,Mainstays Waffled Bathrobe,Brobe,$40 ,5
fthunder1p@webs.com,1065,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,$40 ,3
eovenden5y@nsu.edu,1125,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,$40 ,5
lthornberbk@nsu.edu,1146,Bath Robes,Waffled Bathrobe,Mainstays Waffled Bathrobe,Brobe,$40 ,1
clelievre1q@spiegel.de,1401,Bath Robes,Satin and Lace Bathrobe,Mainstays Satin Bathrobe,Brobe,$40 ,5
amaccathayam@nsu.edu,2565,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Linen Bathrobe,$40 ,2
dbarrowcloughlz@nsu.edu,2597,Bath Robes,Washed Linen Bathrobe,Mainstays Linen Bathrobe,Brobe,$40 ,5
dbrinkworth7i@nsu.edu,263,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,1
dgoodenoughgs@nsu.edu,104,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,2
cmabbsdt@nsu.edu,102,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,5
dbraffington7n@nsu.edu,31,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,4
tandino92@nsu.edu,154,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
belfordb@yahoo.co.jp,589,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,3
rvanderhoeven9h@nsu.edu,61,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
ebromagei6@nsu.edu,44,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,0
mtuxell5t@nsu.edu,229,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,3
hreavellhk@nsu.edu,294,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,4
tpollock7j@nsu.edu,113,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
acazindy@nsu.edu,2,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,0
hmccurts@vinaora.com,855,Beauty Products,Satin and Lace Bathrobe,Lotus SuperProtector Sunscreen,Sunscreen,$25 ,5
selliker1v@ibm.com,900,Beauty Products,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,0
ccolteneh@nsu.edu,1080,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
oflahiveif@nsu.edu,1221,Beauty Products,Hollywood Flawless Filter,Loreal Foundation Supreme,Foundation,$20 ,1
hreavellhk@nsu.edu,1242,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,5
bdenevehs@nsu.edu,1272,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,3
jtestro45@nsu.edu,1332,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
dbrinkworth7i@nsu.edu,1725,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,1
dgoodenoughgs@nsu.edu,1833,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,2
cmabbsdt@nsu.edu,1993,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,5
dbraffington7n@nsu.edu,2005,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,4
tandino92@nsu.edu,2049,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
belfordb@yahoo.co.jp,2141,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,3
rvanderhoeven9h@nsu.edu,2213,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
ebromagei6@nsu.edu,2265,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,5
mtuxell5t@nsu.edu,2269,Beauty Products,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,$15 ,3
hreavellhk@nsu.edu,2313,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,4
tpollock7j@nsu.edu,2401,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,1
acazindy@nsu.edu,2417,Beauty Products,Retractable Rouge Gel Lip Liner,Sephora Rouge Gel Lip Liner,Lip Liner,$20 ,5
cosgar8u@nsu.edu,777,Beef & Lamb,Beef Ribeye Steak,Ribeye,Ready to Cook Ribeye,$35 ,4
cosgar8u@nsu.edu,2553,Beef & Lamb,Beef Ribeye Steak,Ribeye,Ready to Cook Ribeye,$35 ,4
nrideoutmi@nsu.edu,270,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,2
wlaurancegt@nsu.edu,225,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,1
amarkosn0@nsu.edu,35,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,4
tappleton2n@delicious.com,392,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,4
dbarrowcloughlz@nsu.edu,24,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,4
pslidders4f@nsu.edu,66,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,$120 ,1
