Buyer_Email,Seller_Email,Rating,Rating_Desc
dvolettb@nsu.edu,nrideoutmi@nsu.edu,4,Awesome
dcavilla7@nsu.edu,dnaughton9f@nsu.edu,2,Not Bad
dsinkinson8@nsu.edu,rpointn@globo.com,3,Not Bad
fbehling6@nsu.edu,wspadelli8j@nsu.edu,5,Awesome
esaltrese9@nsu.edu,wspadelli8j@nsu.edu,5,Awesome
rgurnera@nsu.edu,gdowtry4j@nsu.edu,4,Awesome
dvolettb@nsu.edu,clelievre1q@spiegel.de,1,Bad
dmcguggyc@nsu.edu,jspraggon8f@nsu.edu,2,Not Bad
agirodond@nsu.edu,jkasman1i@histats.com,5,Awesome
wvanellie@nsu.edu,spinwillhg@nsu.edu,2,Not Bad
ctowllf@nsu.edu,cmaxted8c@nsu.edu,4,Awesome
ageillg@nsu.edu,kfeeney30@nsu.edu,4,Awesome
ibossinghamh@nsu.edu,dcordeniw@nsu.edu,4,Awesome
mkiernani@nsu.edu,cosgar8u@nsu.edu,4,Awesome
nmiddisj@nsu.edu,ldickinsbh@nsu.edu,4,Awesome
amcquaidek@nsu.edu,bdeavenell7o@nsu.edu,1,Bad
lpitkinl@nsu.edu,amaccathayam@nsu.edu,2,Not Bad
thostanm@nsu.edu,bstrangeri3@nsu.edu,3,Not Bad
tmushartn@nsu.edu,bbartkowiak6t@nsu.edu,5,Awesome
oguerreo@nsu.edu,amarkosn0@nsu.edu,2,Not Bad
nsemeradp@nsu.edu,cmcpolindw@nsu.edu,5,Awesome
dgoodbarrq@nsu.edu,dbrinkworth7i@nsu.edu,4,Awesome
lticknerr@nsu.edu,tappleton2n@delicious.com,5,Awesome
jsoutherns@nsu.edu,gcordall73@nsu.edu,1,Bad
tplutherot@nsu.edu,dbarrowcloughlz@nsu.edu,1,Bad
hshippu@nsu.edu,nheckjx@nsu.edu,3,Not Bad
acokev@nsu.edu,bspottiswoodhm@nsu.edu,1,Bad
ncamelliw@nsu.edu,gmosconegr@nsu.edu,2,Not Bad
ufriendx@nsu.edu,akelby20@drupal.org,1,Bad
asaveryy@nsu.edu,lbyrdgk@nsu.edu,3,Not Bad
tschinettiz@nsu.edu,mlempertz10@yandex.ru,2,Not Bad
ecancelier10@nsu.edu,zcowl7l@nsu.edu,2,Not Bad
echristescu11@nsu.edu,asimonsen7z@nsu.edu,5,Awesome
mbrumby12@nsu.edu,pslidders4f@nsu.edu,1,Bad
hbickell13@nsu.edu,awillderjq@nsu.edu,4,Awesome
mgorgen14@nsu.edu,avenablesi@salon.com,4,Awesome
kcoughlan1f@nsu.edu,ihannondki@nsu.edu,1,Bad
faisman1g@nsu.edu,avirr66@nsu.edu,1,Bad
ymargarson1h@nsu.edu,dgoodenoughgs@nsu.edu,1,Bad
cstrooband1i@nsu.edu,rscampm5@nsu.edu,5,Awesome
elosebie1j@nsu.edu,kkiesselhe@nsu.edu,5,Awesome
lthursby1k@nsu.edu,tkorting48@nsu.edu,1,Bad
hraffin1l@nsu.edu,mbuesdennk@nsu.edu,5,Awesome
ajancey1m@nsu.edu,rcayton5r@nsu.edu,4,Awesome
sbecks1n@nsu.edu,selliker1v@ibm.com,3,Not Bad
dfahrenbach1o@nsu.edu,rstanwixm3@nsu.edu,4,Awesome
ehaglinton1p@nsu.edu,ehaspineallfb@nsu.edu,4,Awesome
mangeau1q@nsu.edu,onewlindl@nsu.edu,1,Bad
lsturley1r@nsu.edu,gdeblaseer@nsu.edu,5,Awesome
wberthon1s@nsu.edu,vcawr7@nsu.edu,1,Bad
tmoberley20@nsu.edu,glibbie7q@nsu.edu,4,Awesome
ajancey1m@nsu.edu,glibbie7q@nsu.edu,2,Not Bad
cbarnhart1t@nsu.edu,glibbie7q@nsu.edu,3,Not Bad
hpuleque1u@nsu.edu,emillhill6q@nsu.edu,2,Not Bad
cadamowicz1v@nsu.edu,iciobotarujm@nsu.edu,5,Awesome
ahilland1w@nsu.edu,mfairhamf0@nsu.edu,2,Not Bad
idelaprelle1x@nsu.edu,gnorecb@nsu.edu,2,Not Bad
sdavid1y@nsu.edu,rgoulbornegn@nsu.edu,5,Awesome
lraccio1z@nsu.edu,bspencleyka@nsu.edu,2,Not Bad
tmoberley20@nsu.edu,hleroy7s@nsu.edu,4,Awesome
rbroadberrie21@nsu.edu,dbrigstocko2@nsu.edu,1,Bad
vshingfield22@nsu.edu,nlarhamap@nsu.edu,5,Awesome
knoni23@nsu.edu,mcrumlyfk@nsu.edu,1,Bad
tlinning29@nsu.edu,jcarvil9@economist.com,3,Not Bad
rbulluck24@nsu.edu,jcarvil9@economist.com,2,Not Bad
tsolman25@nsu.edu,jboultwoodre@nsu.edu,5,Awesome
rvedntyev26@nsu.edu,jcory4w@nsu.edu,1,Bad
jturmel27@nsu.edu,pkirklandrq@nsu.edu,1,Bad
lrosel28@nsu.edu,rkorneichikbg@nsu.edu,5,Awesome
tlinning29@nsu.edu,aforsythay@nsu.edu,4,Awesome
nfazackerley2a@nsu.edu,kperle7k@nsu.edu,4,Awesome
gbenezet2b@nsu.edu,cpaulone4@nsu.edu,2,Not Bad
delnaugh2c@nsu.edu,solooneybx@nsu.edu,3,Not Bad
afrancecione2d@nsu.edu,tdairtonp8@nsu.edu,2,Not Bad
cbernardot2e@nsu.edu,feeles4r@nsu.edu,3,Not Bad
dfeige2f@nsu.edu,bmaclaverty2v@nsu.edu,3,Not Bad
ebowcock2g@nsu.edu,lstuddeard7r@nsu.edu,5,Awesome
amorrant2h@nsu.edu,rburtwistler8@nsu.edu,1,Bad
lmorrieson2i@nsu.edu,cmabbsdt@nsu.edu,4,Awesome
qjakoubec2j@nsu.edu,fdeans6l@nsu.edu,1,Bad
sfurmston2k@nsu.edu,bmalbonee@nsu.edu,2,Not Bad
mbonny2l@nsu.edu,dbraffington7n@nsu.edu,3,Not Bad
croggero2m@nsu.edu,cgabeyeb@nsu.edu,1,Bad
srourke2n@nsu.edu,dlawteye2@nsu.edu,2,Not Bad
tthorogood2o@nsu.edu,mickowics63@nsu.edu,1,Bad
dthorowgood2p@nsu.edu,qricardoufm@nsu.edu,2,Not Bad
bsuddock2q@nsu.edu,ogajownikly@nsu.edu,1,Bad
rjosefovic2r@nsu.edu,oreppaportr0@nsu.edu,4,Awesome
awhiskerd2s@nsu.edu,ccaldeiropf@nsu.edu,2,Not Bad
ttremollet2t@nsu.edu,kmusslewhitedp@nsu.edu,2,Not Bad
pbowsher2u@nsu.edu,dparlettkw@nsu.edu,4,Awesome
bmaclaverty2v@nsu.edu,msprackling43@nsu.edu,1,Bad
amcpartlin2w@nsu.edu,tandino92@nsu.edu,1,Bad
lthackham2x@nsu.edu,jwooderson5q@nsu.edu,2,Not Bad
bbywaters2y@nsu.edu,jgarrood8v@nsu.edu,3,Not Bad
gdruce2z@nsu.edu,fstodartdu@nsu.edu,3,Not Bad
kfeeney30@nsu.edu,gescalanteg4@nsu.edu,2,Not Bad
gleddie3a@nsu.edu,lcuffehv@nsu.edu,3,Not Bad
dlepick3b@nsu.edu,vrissonh@nsu.edu,3,Not Bad
atorrejon3c@nsu.edu,dabelson7x@nsu.edu,3,Not Bad
jkittel3d@nsu.edu,jberntjd@nsu.edu,1,Bad
sshewry3e@nsu.edu,ituppm2@nsu.edu,3,Not Bad
ljoannic3f@nsu.edu,vconquest69@nsu.edu,5,Awesome
fscowcroft3g@nsu.edu,ebullardig@nsu.edu,2,Not Bad
cceaser3h@nsu.edu,dgurge15@jimdo.com,4,Awesome
jpietroni3i@nsu.edu,belfordb@yahoo.co.jp,1,Bad
gdignall3j@nsu.edu,eorrick96@nsu.edu,3,Not Bad
bhubbucke3k@nsu.edu,psarfat78@nsu.edu,1,Bad
awanstall3l@nsu.edu,rwomack49@nsu.edu,1,Bad
msalvatore3m@nsu.edu,eovenden5y@nsu.edu,4,Awesome
zcallis3n@nsu.edu,whasnney2b@biblegateway.com,2,Not Bad
bhubbucke3k@nsu.edu,mromayniq@nsu.edu,1,Bad
vizaac3w@nsu.edu,mromayniq@nsu.edu,5,Awesome
heastcott3o@nsu.edu,mromayniq@nsu.edu,2,Not Bad
mdrache3p@nsu.edu,fcapronqr@nsu.edu,2,Not Bad
cvasichev3q@nsu.edu,lmcmanusmc@nsu.edu,1,Bad
ashutt3r@nsu.edu,lthornberbk@nsu.edu,2,Not Bad
kbartolacci3s@nsu.edu,pstartehp@nsu.edu,5,Awesome
dsquelch3t@nsu.edu,gechalieh4@nsu.edu,3,Not Bad
rofallon3u@nsu.edu,eswanbourneq0@nsu.edu,2,Not Bad
ikneesha3v@nsu.edu,shaydones@nsu.edu,2,Not Bad
vizaac3w@nsu.edu,lcicchinellib5@nsu.edu,1,Bad
sgeratasch3x@nsu.edu,jjewettjh@nsu.edu,3,Not Bad
wucceli3y@nsu.edu,rvanderhoeven9h@nsu.edu,3,Not Bad
vgreatorex3z@nsu.edu,tizzatt4e@nsu.edu,1,Bad
tmanus40@nsu.edu,abartoszek16@reuters.com,2,Not Bad
blucio41@nsu.edu,ctelezhking7@nsu.edu,3,Not Bad
agoly4g@nsu.edu,oflahiveif@nsu.edu,4,Awesome
cthumann4h@nsu.edu,kbennike0@merriam-webster.com,1,Bad
rmcwhin4i@nsu.edu,ikneesha3v@nsu.edu,1,Bad
gdowtry4j@nsu.edu,cdutnallr1@nsu.edu,4,Awesome
tinch4k@nsu.edu,hcapellee6@nsu.edu,2,Not Bad
jthwaite4l@nsu.edu,hreavellhk@nsu.edu,4,Awesome
rmessham4m@nsu.edu,gdignall3j@nsu.edu,2,Not Bad
pnetley4n@nsu.edu,cpennettalf@nsu.edu,1,Bad
lbissill4o@nsu.edu,ahaskerjg@nsu.edu,1,Bad
anassau4p@nsu.edu,cdullardbp@nsu.edu,3,Not Bad
toseland4q@nsu.edu,cfridpm@nsu.edu,3,Not Bad
feeles4r@nsu.edu,mamymo@nsu.edu,2,Not Bad
tbice4s@nsu.edu,pboundey37@nsu.edu,1,Bad
hgoolden4t@nsu.edu,eparmanpy@nsu.edu,2,Not Bad
myork4u@nsu.edu,pclampettfg@nsu.edu,4,Awesome
ghankey4v@nsu.edu,bdenevehs@nsu.edu,3,Not Bad
jcory4w@nsu.edu,mbuddenqw@nsu.edu,3,Not Bad
etroy4x@nsu.edu,cceaser3h@nsu.edu,3,Not Bad
lundrill4y@nsu.edu,strenamanhu@nsu.edu,4,Awesome
gmackall4z@nsu.edu,pbortolazziol@nsu.edu,1,Bad
myacob50@nsu.edu,zcornillibb@nsu.edu,1,Bad
ajeffs51@nsu.edu,gearngycp@nsu.edu,4,Awesome
olief52@nsu.edu,tgettonei8@nsu.edu,1,Bad
ddimeo53@nsu.edu,gpendry79@nsu.edu,5,Awesome
mgeorgi5b@nsu.edu,kwilcockesfx@nsu.edu,4,Awesome
dclearie54@nsu.edu,kwilcockesfx@nsu.edu,4,Awesome
mriddler55@nsu.edu,slittledike1a@dyndns.org,5,Awesome
cklyner56@nsu.edu,tpollock7j@nsu.edu,2,Not Bad
zmegroff57@nsu.edu,rdellenbroker6c@nsu.edu,5,Awesome
cjaquiss58@nsu.edu,mbernasekrm@nsu.edu,2,Not Bad
garmer59@nsu.edu,hbintonme@nsu.edu,4,Awesome
scribbin5a@nsu.edu,acazindy@nsu.edu,2,Not Bad
dclearie54@nsu.edu,tlinebargerh@flickr.com,1,Bad
ajeffs51@nsu.edu,tlinebargerh@flickr.com,1,Bad
mgeorgi5b@nsu.edu,tlinebargerh@flickr.com,5,Awesome
kgedney5c@nsu.edu,jtestro45@nsu.edu,1,Bad
jponting5d@nsu.edu,ltortispi@nsu.edu,4,Awesome
mriddler55@nsu.edu,wfranzenct@nsu.edu,5,Awesome
garmer59@nsu.edu,wfranzenct@nsu.edu,1,Bad
meddington5e@nsu.edu,wfranzenct@nsu.edu,2,Not Bad
landrysek5f@nsu.edu,ecortingq@nsu.edu,4,Awesome
dclearie54@nsu.edu,ecortingq@nsu.edu,5,Awesome
mreeves46@nsu.edu,nrideoutmi@nsu.edu,5,Awesome
rkorneev47@nsu.edu,nrideoutmi@nsu.edu,5,Awesome
tkorting48@nsu.edu,ndutchburnel@nsu.edu,1,Bad
rwomack49@nsu.edu,wlaurancegt@nsu.edu,2,Not Bad
atythacott4a@nsu.edu,wlaurancegt@nsu.edu,1,Bad
tevangelinos4b@nsu.edu,wlaurancegt@nsu.edu,2,Not Bad
fleere4c@nsu.edu,rdichee@adobe.com,5,Awesome
kbouzek4d@nsu.edu,dmccritchiej3@nsu.edu,2,Not Bad
